mean: -10623037500.001 std: (+/-16295562142.712) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10600824071.604 std: (+/-22498085719.964) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10643711360.959 std: (+/-22526559169.065) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10629461874.221 std: (+/-22506421493.091) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10632078126.351 std: (+/-22484771714.824) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10595940276.589 std: (+/-22491054250.144) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10608571826.402 std: (+/-22467614635.926) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10615843758.942 std: (+/-22559341497.654) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10597326347.874 std: (+/-22534059517.905) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10028154910.191 std: (+/-15547986274.264) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -11010467803.206 std: (+/-18325696258.131) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10412288536.680 std: (+/-17574589117.305) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9960206348.326 std: (+/-17294294634.140) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -11414907056.789 std: (+/-18730199162.138) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9767559669.743 std: (+/-15797906252.353) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -11172028906.821 std: (+/-17359770105.899) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -11255831588.247 std: (+/-18574691427.406) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9482161618.817 std: (+/-15846434916.439) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10795861031.154 std: (+/-18731993919.592) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10496080804.875 std: (+/-20282754971.645) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9910663893.786 std: (+/-20260370168.432) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10203468761.996 std: (+/-20252865799.393) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9545040380.915 std: (+/-20109433227.084) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10524519209.527 std: (+/-20250920274.513) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10169904988.381 std: (+/-20346722533.295) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10072296254.716 std: (+/-20304209660.198) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10068800799.451 std: (+/-20382163714.881) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10178912935.717 std: (+/-20180349831.896) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10270426598.977 std: (+/-20348999344.458) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10163519111.732 std: (+/-23871050926.846) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10138961682.501 std: (+/-24106504386.254) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10144025558.267 std: (+/-24101438326.637) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10146590403.216 std: (+/-24226867322.131) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10106626639.199 std: (+/-24168308971.614) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10151884716.777 std: (+/-24178519386.928) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10119946405.616 std: (+/-24182166818.216) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10110808021.309 std: (+/-24178102698.858) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10167069338.906 std: (+/-24133230899.913) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10125371914.666 std: (+/-24196901474.126) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10146534932.126 std: (+/-23586965699.241) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9763227681.597 std: (+/-22775464222.622) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -10094700346.637 std: (+/-22597655549.346) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -10079143809.657 std: (+/-22056803937.297) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9869000140.568 std: (+/-22238817389.752) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9656992571.967 std: (+/-22102934537.410) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9608632953.008 std: (+/-21949806528.194) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -10027665237.578 std: (+/-21909641094.803) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -10406218920.236 std: (+/-22237857908.311) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9707449261.603 std: (+/-21945843236.177) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9587101561.754 std: (+/-23151885453.240) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9627422697.647 std: (+/-22782991508.133) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9968595653.646 std: (+/-22358847319.231) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9686222019.155 std: (+/-22260030688.534) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9898665233.654 std: (+/-21995165990.309) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9781971415.885 std: (+/-21924211875.517) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -10025363670.000 std: (+/-21941005808.866) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -10152715769.495 std: (+/-22425376626.265) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -10202322028.092 std: (+/-22327408783.506) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -10233678875.316 std: (+/-22228765311.148) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9958571566.171 std: (+/-21100367522.745) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9948636761.481 std: (+/-20818195009.673) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9821725753.734 std: (+/-20280319863.349) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9774622305.715 std: (+/-19952670551.033) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9715545434.740 std: (+/-19827353199.705) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9709170673.909 std: (+/-19731692551.289) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9700040188.561 std: (+/-19687894553.813) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9698523914.252 std: (+/-19659590979.757) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9704294252.773 std: (+/-19630174430.040) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9704026647.483 std: (+/-19622729138.396) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -10321086052.105 std: (+/-16888060718.945) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9219160598.218 std: (+/-17993195015.567) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10401069909.074 std: (+/-19829598716.400) for {'max_features': 'sqrt', 'n_estimators': 600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10215531029.700 std: (+/-18117093999.326) for {'max_features': 'sqrt', 'n_estimators': 800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10384353278.613 std: (+/-16178402699.337) for {'max_features': 'sqrt', 'n_estimators': 1000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10142216724.210 std: (+/-16797424775.806) for {'max_features': 'sqrt', 'n_estimators': 1200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9808845598.690 std: (+/-17623840553.661) for {'max_features': 'sqrt', 'n_estimators': 1400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9532493917.159 std: (+/-16323183375.023) for {'max_features': 'sqrt', 'n_estimators': 1600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10121338380.913 std: (+/-16074503748.274) for {'max_features': 'sqrt', 'n_estimators': 1800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9552910661.762 std: (+/-15662331233.205) for {'max_features': 'sqrt', 'n_estimators': 2000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10185064008.014 std: (+/-18097393812.595) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10724913207.035 std: (+/-17984866251.241) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9505311071.512 std: (+/-18150642850.507) for {'max_features': 'sqrt', 'n_estimators': 600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10379454738.906 std: (+/-17724687832.721) for {'max_features': 'sqrt', 'n_estimators': 800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10460248750.601 std: (+/-18166047200.724) for {'max_features': 'sqrt', 'n_estimators': 1000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9568812708.565 std: (+/-16992303572.705) for {'max_features': 'sqrt', 'n_estimators': 1200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10916343197.456 std: (+/-17585286520.999) for {'max_features': 'sqrt', 'n_estimators': 1400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9595765665.948 std: (+/-17593099167.905) for {'max_features': 'sqrt', 'n_estimators': 1600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9767632995.304 std: (+/-17303008772.243) for {'max_features': 'sqrt', 'n_estimators': 1800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9524106750.647 std: (+/-18131861263.258) for {'max_features': 'sqrt', 'n_estimators': 2000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9251426035.381 std: (+/-19002306482.906) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9298288008.397 std: (+/-17028159770.944) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9397333848.014 std: (+/-18308567818.405) for {'max_features': 'sqrt', 'n_estimators': 600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -8994510215.182 std: (+/-17906689769.098) for {'max_features': 'sqrt', 'n_estimators': 800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -8850714940.958 std: (+/-16552638501.695) for {'max_features': 'sqrt', 'n_estimators': 1000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9199842240.414 std: (+/-17555276558.389) for {'max_features': 'sqrt', 'n_estimators': 1200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -8779551119.187 std: (+/-16907737093.110) for {'max_features': 'sqrt', 'n_estimators': 1400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9021064011.115 std: (+/-16520958888.440) for {'max_features': 'sqrt', 'n_estimators': 1600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -8766728450.598 std: (+/-16901703150.376) for {'max_features': 'sqrt', 'n_estimators': 1800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9041886417.207 std: (+/-17218063091.450) for {'max_features': 'sqrt', 'n_estimators': 2000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -8721355580.128 std: (+/-17806117203.118) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -8682757681.377 std: (+/-17058748635.186) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9194310552.513 std: (+/-18123942178.283) for {'max_features': 'sqrt', 'n_estimators': 600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9407347017.888 std: (+/-16280346215.239) for {'max_features': 'sqrt', 'n_estimators': 800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9529361723.956 std: (+/-18131023585.402) for {'max_features': 'sqrt', 'n_estimators': 1000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -8423231103.717 std: (+/-16011557142.024) for {'max_features': 'sqrt', 'n_estimators': 1200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -8528440323.653 std: (+/-15375988924.693) for {'max_features': 'sqrt', 'n_estimators': 1400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -8757250516.922 std: (+/-17744823498.358) for {'max_features': 'sqrt', 'n_estimators': 1600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9806538674.080 std: (+/-18152575639.281) for {'max_features': 'sqrt', 'n_estimators': 1800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9301464699.265 std: (+/-18095478252.735) for {'max_features': 'sqrt', 'n_estimators': 2000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9772366223.813 std: (+/-18755396552.341) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10064038998.691 std: (+/-19015343673.809) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9693420171.867 std: (+/-17686589096.492) for {'max_features': 'sqrt', 'n_estimators': 600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9032556263.397 std: (+/-17830668793.302) for {'max_features': 'sqrt', 'n_estimators': 800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9528199663.891 std: (+/-17481072544.899) for {'max_features': 'sqrt', 'n_estimators': 1000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9132659392.586 std: (+/-18266974298.235) for {'max_features': 'sqrt', 'n_estimators': 1200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9652125111.695 std: (+/-18101206193.804) for {'max_features': 'sqrt', 'n_estimators': 1400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9285046491.417 std: (+/-17633189208.831) for {'max_features': 'sqrt', 'n_estimators': 1600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9196188183.704 std: (+/-18585410249.248) for {'max_features': 'sqrt', 'n_estimators': 1800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10449414130.906 std: (+/-19869655181.493) for {'max_features': 'sqrt', 'n_estimators': 2000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -8770170657.828 std: (+/-17874310687.292) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -8618569846.984 std: (+/-18211807712.095) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -8801108380.587 std: (+/-18401704703.364) for {'max_features': 'sqrt', 'n_estimators': 600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9208537460.475 std: (+/-19767591795.205) for {'max_features': 'sqrt', 'n_estimators': 800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9040058844.263 std: (+/-19134150937.870) for {'max_features': 'sqrt', 'n_estimators': 1000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -8904971916.387 std: (+/-18426780923.520) for {'max_features': 'sqrt', 'n_estimators': 1200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -9065535387.525 std: (+/-19675905918.371) for {'max_features': 'sqrt', 'n_estimators': 1400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -8639747069.310 std: (+/-16939849083.042) for {'max_features': 'sqrt', 'n_estimators': 1600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -8749275374.228 std: (+/-18372031868.409) for {'max_features': 'sqrt', 'n_estimators': 1800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -8942969992.352 std: (+/-19347091356.375) for {'max_features': 'sqrt', 'n_estimators': 2000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -10434695176.866 std: (+/-21217259985.637) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9676513914.419 std: (+/-22146635666.362) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9907290081.250 std: (+/-21097921792.135) for {'max_features': 'sqrt', 'n_estimators': 600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9944675052.739 std: (+/-21633886244.189) for {'max_features': 'sqrt', 'n_estimators': 800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -10589414769.168 std: (+/-21354433156.396) for {'max_features': 'sqrt', 'n_estimators': 1000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -10156958833.222 std: (+/-20837464689.312) for {'max_features': 'sqrt', 'n_estimators': 1200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9862045825.661 std: (+/-20924806421.848) for {'max_features': 'sqrt', 'n_estimators': 1400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9828786416.928 std: (+/-21047816262.167) for {'max_features': 'sqrt', 'n_estimators': 1600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -10632033423.628 std: (+/-21513863418.318) for {'max_features': 'sqrt', 'n_estimators': 1800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9808902379.542 std: (+/-20724133589.668) for {'max_features': 'sqrt', 'n_estimators': 2000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9530608985.354 std: (+/-20972655017.806) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -9593002724.301 std: (+/-21690211965.531) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
