mean: -588377.049 std: (+/-711136.674) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -457379.137 std: (+/-610035.058) for {'max_features': 'sqrt', 'n_estimators': 1600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -443670.210 std: (+/-675511.896) for {'max_features': 'sqrt', 'n_estimators': 1800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -519377.459 std: (+/-899239.601) for {'max_features': 'sqrt', 'n_estimators': 2000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -520093.992 std: (+/-766141.618) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -485612.730 std: (+/-741740.417) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -500026.937 std: (+/-759370.024) for {'max_features': 'sqrt', 'n_estimators': 600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -459465.007 std: (+/-837166.302) for {'max_features': 'sqrt', 'n_estimators': 800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -443903.577 std: (+/-716645.212) for {'max_features': 'sqrt', 'n_estimators': 1000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -511184.119 std: (+/-731235.588) for {'max_features': 'sqrt', 'n_estimators': 1200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -515916.764 std: (+/-874189.069) for {'max_features': 'sqrt', 'n_estimators': 1400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -499724.703 std: (+/-650374.866) for {'max_features': 'sqrt', 'n_estimators': 1600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -463742.653 std: (+/-707286.144) for {'max_features': 'sqrt', 'n_estimators': 1800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -524571.117 std: (+/-871168.773) for {'max_features': 'sqrt', 'n_estimators': 2000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -471343.104 std: (+/-694882.595) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -456757.718 std: (+/-689660.465) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -405729.349 std: (+/-724029.379) for {'max_features': 'sqrt', 'n_estimators': 600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -499119.231 std: (+/-730136.364) for {'max_features': 'sqrt', 'n_estimators': 800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -446431.903 std: (+/-716992.516) for {'max_features': 'sqrt', 'n_estimators': 1000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -490576.942 std: (+/-660977.246) for {'max_features': 'sqrt', 'n_estimators': 1200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -437704.930 std: (+/-651036.647) for {'max_features': 'sqrt', 'n_estimators': 1400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -513698.705 std: (+/-801946.099) for {'max_features': 'sqrt', 'n_estimators': 1600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -446303.490 std: (+/-552282.803) for {'max_features': 'sqrt', 'n_estimators': 1800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -476598.339 std: (+/-683240.244) for {'max_features': 'sqrt', 'n_estimators': 2000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -434162.535 std: (+/-658641.488) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -494308.864 std: (+/-748587.926) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -409297.349 std: (+/-706325.004) for {'max_features': 'sqrt', 'n_estimators': 600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -434600.197 std: (+/-582965.965) for {'max_features': 'sqrt', 'n_estimators': 800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -450599.017 std: (+/-682936.133) for {'max_features': 'sqrt', 'n_estimators': 1000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -504433.843 std: (+/-696583.317) for {'max_features': 'sqrt', 'n_estimators': 1200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -417113.547 std: (+/-632480.181) for {'max_features': 'sqrt', 'n_estimators': 1400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -467083.747 std: (+/-617400.091) for {'max_features': 'sqrt', 'n_estimators': 1600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -474870.224 std: (+/-747812.936) for {'max_features': 'sqrt', 'n_estimators': 1800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -492857.555 std: (+/-693464.542) for {'max_features': 'sqrt', 'n_estimators': 2000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -434429.481 std: (+/-749012.024) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -406668.152 std: (+/-708504.913) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -496416.866 std: (+/-818674.273) for {'max_features': 'sqrt', 'n_estimators': 600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -441037.037 std: (+/-627469.110) for {'max_features': 'sqrt', 'n_estimators': 800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -421574.746 std: (+/-581275.958) for {'max_features': 'sqrt', 'n_estimators': 1000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -417840.056 std: (+/-687411.190) for {'max_features': 'sqrt', 'n_estimators': 1200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -458511.587 std: (+/-730924.379) for {'max_features': 'sqrt', 'n_estimators': 1400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -467245.283 std: (+/-643393.009) for {'max_features': 'sqrt', 'n_estimators': 1600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -420387.106 std: (+/-658877.330) for {'max_features': 'sqrt', 'n_estimators': 1800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -473256.305 std: (+/-659148.216) for {'max_features': 'sqrt', 'n_estimators': 2000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -431417.730 std: (+/-609674.146) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -459699.367 std: (+/-696511.243) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -439519.781 std: (+/-635921.905) for {'max_features': 'sqrt', 'n_estimators': 600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -442244.955 std: (+/-691184.294) for {'max_features': 'sqrt', 'n_estimators': 800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -451505.668 std: (+/-685978.949) for {'max_features': 'sqrt', 'n_estimators': 1000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -474588.445 std: (+/-815614.630) for {'max_features': 'sqrt', 'n_estimators': 1200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -425579.394 std: (+/-665643.380) for {'max_features': 'sqrt', 'n_estimators': 1400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -472229.422 std: (+/-624180.834) for {'max_features': 'sqrt', 'n_estimators': 1600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -446578.823 std: (+/-650148.424) for {'max_features': 'sqrt', 'n_estimators': 1800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -440455.084 std: (+/-748231.405) for {'max_features': 'sqrt', 'n_estimators': 2000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -396960.457 std: (+/-657976.594) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -453639.293 std: (+/-745114.994) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -430815.243 std: (+/-688299.858) for {'max_features': 'sqrt', 'n_estimators': 600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -372256.238 std: (+/-592568.961) for {'max_features': 'sqrt', 'n_estimators': 800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -407097.668 std: (+/-584845.667) for {'max_features': 'sqrt', 'n_estimators': 1000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -401842.530 std: (+/-595761.161) for {'max_features': 'sqrt', 'n_estimators': 1200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -387573.552 std: (+/-609853.041) for {'max_features': 'sqrt', 'n_estimators': 1400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -404983.730 std: (+/-597960.653) for {'max_features': 'sqrt', 'n_estimators': 1600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -368329.816 std: (+/-511705.517) for {'max_features': 'sqrt', 'n_estimators': 1800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -406588.095 std: (+/-529349.645) for {'max_features': 'sqrt', 'n_estimators': 2000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -394529.528 std: (+/-511666.407) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -429100.891 std: (+/-692728.254) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -382314.355 std: (+/-531142.838) for {'max_features': 'sqrt', 'n_estimators': 600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -394419.774 std: (+/-524436.319) for {'max_features': 'sqrt', 'n_estimators': 800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -398552.662 std: (+/-582093.717) for {'max_features': 'sqrt', 'n_estimators': 1000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -422786.099 std: (+/-579427.530) for {'max_features': 'sqrt', 'n_estimators': 1200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -378774.770 std: (+/-562951.586) for {'max_features': 'sqrt', 'n_estimators': 1400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -388600.845 std: (+/-527739.702) for {'max_features': 'sqrt', 'n_estimators': 1600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -393649.914 std: (+/-612131.213) for {'max_features': 'sqrt', 'n_estimators': 1800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -374285.419 std: (+/-572742.648) for {'max_features': 'sqrt', 'n_estimators': 2000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
